TIGRFAM,ROLE_ID,SubRole,MainRole,Role
TIGR03125,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR03125,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR03132,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR03135,184,Other,Energy metabolism,Energy metabolism::Other
TIGR03136,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR03137,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR03137,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR03138,166,RNA processing,Transcription,Transcription::RNA processing
TIGR03140,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR03140,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR03142,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR03142,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03144,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03144,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR03146,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03147,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03148,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03149,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03150,176,Biosynthesis,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Biosynthesis
TIGR03152,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03153,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03156,157,General,Unknown function,Unknown function::General
TIGR03157,719,NA,NA,NA::NA
TIGR03158,719,NA,NA,NA::NA
TIGR03159,719,NA,NA,NA::NA
TIGR03160,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR03161,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR03162,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR03167,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR03170,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR03172,157,General,Unknown function,Unknown function::General
TIGR03174,719,NA,NA,NA::NA
TIGR03176,160,Nitrogen metabolism,Central intermediary metabolism,Central intermediary metabolism::Nitrogen metabolism
TIGR03181,118,Pyruvate dehydrogenase,Energy metabolism,Energy metabolism::Pyruvate dehydrogenase
TIGR03182,118,Pyruvate dehydrogenase,Energy metabolism,Energy metabolism::Pyruvate dehydrogenase
TIGR03183,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR03184,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR03185,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR03188,161,Histidine family,Amino acid biosynthesis,Amino acid biosynthesis::Histidine family
TIGR03197,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR03211,184,Other,Energy metabolism,Energy metabolism::Other
TIGR03213,184,Other,Energy metabolism,Energy metabolism::Other
TIGR03216,184,Other,Energy metabolism,Energy metabolism::Other
TIGR03217,184,Other,Energy metabolism,Energy metabolism::Other
TIGR03218,184,Other,Energy metabolism,Energy metabolism::Other
TIGR03221,184,Other,Energy metabolism,Energy metabolism::Other
TIGR03224,184,Other,Energy metabolism,Energy metabolism::Other
TIGR03225,184,Other,Energy metabolism,Energy metabolism::Other
TIGR03228,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR03229,184,Other,Energy metabolism,Energy metabolism::Other
TIGR03231,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR03233,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR03235,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR03236,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR03237,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR03238,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR03240,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR03241,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR03242,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR03244,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR03246,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR03252,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR03253,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR03254,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR03256,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03257,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03259,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03260,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03261,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR03262,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR03263,124,Nucleotide and nucleoside interconversions,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Nucleotide and nucleoside interconversions"
TIGR03264,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03265,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR03267,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03268,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03269,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03270,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03271,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03272,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03281,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03282,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03283,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR03284,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR03285,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03286,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03287,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03291,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03298,94,Toxin production and resistance,Cellular processes,Cellular processes::Toxin production and resistance
TIGR03298,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR03298,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR03299,708,Other,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Other
TIGR03300,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR03302,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR03303,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR03311,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Other"
TIGR03317,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR03318,157,General,Unknown function,Unknown function::General
TIGR03319,134,Degradation of RNA,Transcription,Transcription::Degradation of RNA
TIGR03326,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR03328,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR03330,104,Polyamine biosynthesis,Central intermediary metabolism,Central intermediary metabolism::Polyamine biosynthesis
TIGR03331,104,Polyamine biosynthesis,Central intermediary metabolism,Central intermediary metabolism::Polyamine biosynthesis
TIGR03332,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR03332,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR03333,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR03333,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR03335,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR03335,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR03337,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR03339,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR03341,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR03344,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR03345,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR03345,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR03346,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR03347,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR03347,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR03348,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR03349,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR03349,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR03350,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR03350,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR03352,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
